GMT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2014-11-30,11,8,5,9,7,6,100,91,76,1017,1015,1013,31,12,0,14,5,,0.25,,Fog,-1
2014-12-1,8,7,4,7,6,5,97,87,80,1016,1015,1014,19,10,6,14,8,,0.00,,,-1
2014-12-2,8,6,3,7,2,-2,89,66,52,1027,1021,1015,31,17,6,24,13,,0.00,,Rain,-1
2014-12-3,6,3,0,2,0,-2,82,71,58,1027,1026,1022,27,19,13,19,13,,0.00,,Rain,-1
2014-12-4,4,4,3,3,2,1,89,80,68,1021,1017,1015,13,10,6,16,11,,0.00,,,-1
2014-12-5,8,6,2,3,2,-1,92,73,40,1027,1021,1017,31,16,5,16,6,,0.00,,,-1
2014-12-6,8,4,-1,6,2,-2,93,78,60,1030,1028,1024,31,22,10,16,8,,0.00,,,-1
2014-12-7,10,7,3,9,4,-1,96,74,46,1023,1020,1016,27,19,3,29,21,,1.02,,Rain,-1
2014-12-8,7,4,2,2,1,0,93,72,52,1028,1022,1018,29,25,19,21,13,,0.00,,Fog-Rain,-1
2014-12-9,12,6,0,11,4,0,99,84,66,1029,1024,1013,27,17,3,47,14,,3.05,,Rain,-1
2014-12-10,9,7,5,10,3,1,93,65,54,1018,1016,1012,31,28,19,48,31,,0.25,,Rain,-1
2014-12-11,8,7,5,6,4,3,86,72,63,1013,1009,1001,31,25,13,42,32,,1.02,,Rain,-1
2014-12-12,8,4,2,8,3,-1,93,75,53,1005,997,991,31,20,5,39,24,,0.25,,Rain,-1
2014-12-13,7,3,-1,2,1,-2,96,80,61,1015,1012,1006,31,20,6,13,6,,0.25,,,-1
2014-12-14,10,5,0,8,3,-1,89,73,64,1014,1010,1007,31,23,5,32,19,,0.76,,Rain,-1
2014-12-15,9,6,3,6,4,2,100,84,75,1014,1012,1010,31,20,0,21,13,,0.00,,Fog-Rain,-1
2014-12-16,8,3,0,7,3,1,100,87,66,1017,1015,1008,31,15,0,24,8,,0.25,,Fog-Rain,-1
2014-12-17,12,9,7,11,10,8,97,91,86,1010,1007,1005,27,16,5,39,31,,0.25,,Rain,-1
2014-12-18,12,12,11,11,11,10,97,89,81,1011,1011,1010,31,11,2,48,39,,0.25,,Rain,-1
2014-12-19,10,8,6,11,5,2,97,73,54,1024,1016,1009,31,20,3,42,27,,0.00,,Rain,-1
2014-12-20,9,7,5,4,3,3,90,69,60,1032,1028,1024,31,26,14,32,23,,0.00,,,-1
2014-12-21,11,8,4,10,8,5,95,89,85,1031,1026,1022,31,19,5,39,26,,0.51,,Rain,-1
2014-12-22,12,11,10,11,9,7,95,81,71,1022,1019,1018,29,16,3,50,37,,0.00,,Rain,-1
2014-12-23,11,10,9,9,8,6,93,80,64,1019,1016,1013,31,15,3,45,37,,3.05,,Rain,-1
2014-12-24,9,8,6,11,4,-2,97,70,38,1025,1019,1012,31,23,3,32,23,,0.00,,Rain,-1
2014-12-25,8,6,3,3,2,1,87,71,52,1034,1030,1025,31,26,23,21,13,,0.00,,,-1
2014-12-26,9,4,-1,8,3,-1,98,90,69,1034,1022,1003,27,14,8,34,10,,6.10,,Rain,-1
2014-12-27,7,4,3,2,1,-1,78,70,57,1016,1011,1007,31,27,19,26,18,,0.00,,Rain,-1
2014-12-28,4,1,-3,0,-1,-4,97,80,59,1040,1031,1018,24,13,3,23,13,,0.00,,,-1
2014-12-29,6,0,-5,1,-1,-4,97,84,59,1043,1042,1040,31,13,2,14,6,,0.25,,Fog,-1
2014-12-30,7,1,-5,2,-1,-5,98,86,59,1043,1039,1036,31,11,0,19,5,,0.25,,Fog,-1
2014-12-31,10,4,-1,7,4,0,92,81,71,1035,1032,1030,23,17,11,21,11,,0.25,,Rain,-1
2015-1-1,13,10,8,12,9,7,95,83,76,1030,1026,1020,29,16,2,34,23,,1.02,,Rain,-1
2015-1-2,9,7,4,12,3,-1,97,63,38,1035,1030,1020,31,24,3,47,24,,0.00,,Rain,-1
2015-1-3,7,5,3,6,4,2,98,87,63,1032,1024,1015,31,13,3,21,11,,4.06,,Rain,-1
2015-1-4,7,2,-2,4,2,-1,100,91,78,1037,1034,1032,13,7,0,19,6,,0.25,,Fog,-1
2015-1-5,10,8,5,7,6,4,89,80,69,1033,1028,1022,31,18,10,16,11,,0.00,,,-1
2015-1-6,9,7,3,8,4,1,91,77,51,1026,1021,1016,31,20,6,24,14,,0.51,,Rain,-1
2015-1-7,11,6,2,9,5,2,92,79,62,1026,1022,1016,31,22,3,35,18,,0.25,,Rain,-1
2015-1-8,9,8,7,10,6,3,97,79,56,1027,1021,1016,31,18,2,35,23,,7.11,,Rain,-1
2015-1-9,13,9,6,12,9,6,95,87,77,1023,1019,1016,29,13,2,60,35,,0.51,,Rain,-1
2015-1-10,12,8,4,11,4,-1,94,68,43,1021,1016,1009,31,20,3,64,43,,0.00,,Rain,-1
2015-1-11,9,6,3,6,2,-1,86,68,55,1026,1023,1019,31,23,16,42,26,,0.25,,Rain,-1
2015-1-12,12,9,7,10,8,5,95,87,72,1018,1009,1002,27,14,2,40,29,,11.94,,Rain,-1
2015-1-13,7,4,2,8,3,1,91,84,72,1004,1002,1001,31,18,6,34,23,,2.03,,Rain,-1
2015-1-14,11,4,0,8,3,1,97,79,60,1008,1002,988,31,22,3,45,23,,2.03,,Rain,-1
2015-1-15,7,5,3,9,3,0,90,74,60,996,989,984,31,20,6,60,35,,1.02,,Rain,-1
2015-1-16,7,3,0,3,1,-2,92,72,56,1014,1005,997,31,26,18,29,18,,0.00,,,-1
2015-1-17,5,2,-2,3,1,-3,95,82,63,1014,1012,1011,31,20,3,23,11,,2.03,,Rain,-1
2015-1-18,5,3,1,3,1,-2,98,77,52,1017,1013,1010,31,25,14,16,10,,0.00,,Rain,-1
2015-1-19,4,1,-2,-1,-3,-6,87,68,43,1017,1015,1012,31,25,13,14,8,,0.00,,,-1
2015-1-20,4,1,-2,3,-1,-3,92,80,68,1011,1008,1001,24,16,6,24,10,,3.05,,Rain,-1
2015-1-21,6,4,2,4,3,2,96,89,78,1013,1006,1001,27,13,3,16,11,,1.02,,Rain,-1
2015-1-22,4,1,-3,3,1,-3,99,90,75,1026,1021,1014,8,5,0,11,8,,0.00,,Fog-Rain,-1
2015-1-23,8,2,-5,8,1,-6,97,86,69,1026,1023,1017,26,8,0,27,6,,0.25,,Fog-Rain,-1
2015-1-24,7,6,3,9,1,-1,94,66,53,1033,1028,1018,31,25,14,23,13,,0.00,,Rain,-1
2015-1-25,9,4,0,8,3,-1,95,82,70,1033,1030,1026,31,20,5,26,13,,0.25,,Rain,-1
2015-1-26,9,6,3,8,4,-1,97,75,51,1030,1026,1022,31,24,6,32,19,,0.00,,Rain,-1
2015-1-27,8,5,2,6,4,3,91,77,61,1030,1027,1021,31,27,10,24,14,,0.25,,Rain,-1
2015-1-28,9,6,3,8,3,-3,98,72,38,1020,1007,1001,31,16,2,50,26,,2.03,,Rain,-1
2015-1-29,6,3,1,2,0,-1,84,72,60,1000,987,980,31,30,26,35,23,,0.25,,Rain-Snow,-1
2015-1-30,7,4,1,3,1,-1,87,68,54,983,981,975,31,27,23,39,21,,0.00,,Rain,-1
2015-1-31,6,3,1,2,-1,-3,82,64,46,998,988,982,31,29,27,27,18,,0.25,,Rain,-1
2015-2-1,6,3,0,-2,-3,-6,62,51,41,1007,1003,999,31,30,29,23,14,,0.00,,,-1
2015-2-2,3,1,-2,-1,-3,-6,80,64,52,1008,1007,1006,31,28,21,11,6,,0.00,,,-1
2015-2-3,4,2,-1,-1,-3,-4,76,67,59,1016,1010,1006,31,23,18,24,11,,0.00,,,-1
2015-2-4,5,2,-1,-1,-2,-3,86,68,48,1027,1022,1017,31,21,11,21,11,,0.00,,,-1
2015-2-5,4,2,0,2,-1,-2,91,76,64,1031,1028,1027,31,23,8,21,11,,0.25,,Rain,-1
2015-2-6,4,1,-2,-2,-2,-3,93,74,50,1035,1032,1030,31,19,10,27,18,,0.00,,,-1
2015-2-7,4,2,-1,1,-1,-2,92,80,71,1040,1038,1035,14,9,3,19,14,,0.00,,,-1
2015-2-8,8,3,-1,2,1,-1,100,86,55,1042,1040,1038,19,7,0,13,6,,0.00,,Fog,-1
2015-2-9,8,2,-4,2,-1,-4,100,84,55,1038,1036,1034,23,8,0,11,3,,0.25,,Fog,-1
2015-2-10,6,2,-1,3,2,1,99,83,66,1035,1032,1028,21,8,2,14,6,,0.00,,Fog,-1
2015-2-11,6,4,4,2,1,-1,82,70,61,1028,1024,1022,19,11,6,10,6,,0.00,,,-1
2015-2-12,6,4,3,2,-1,-2,80,64,52,1022,1019,1013,13,10,6,19,8,,0.00,,,-1
2015-2-13,9,6,3,6,4,2,93,83,71,1012,1000,993,31,17,5,34,19,,3.05,,Rain,-1
2015-2-14,9,6,3,6,4,3,96,84,62,1009,1002,995,31,15,3,14,6,,2.03,,Rain,-1
2015-2-15,8,6,3,4,4,3,97,84,70,1016,1014,1009,14,8,3,14,8,,0.00,,Rain,-1
2015-2-16,8,6,3,7,4,1,97,83,69,1026,1016,1012,31,15,3,21,13,,5.08,,Rain,-1
2015-2-17,8,4,1,2,0,-1,83,65,43,1042,1037,1027,31,28,23,21,10,,0.00,,,-1
2015-2-18,11,7,2,4,2,1,70,63,54,1041,1036,1030,31,27,23,24,18,,0.00,,,-1
2015-2-19,8,7,5,7,5,3,97,82,71,1029,1019,1012,31,21,2,32,19,,7.87,,Rain,-1
2015-2-20,7,4,1,5,2,1,100,83,62,1011,1007,1002,31,19,0,16,10,,0.00,,Fog-Rain,-1
2015-2-21,7,4,1,2,1,-2,90,72,52,1009,1003,1000,31,28,19,19,11,,0.00,,Rain,-1
2015-2-22,9,4,-1,9,3,-1,94,85,72,1009,1001,991,31,20,3,48,16,,5.08,,Rain,-1
2015-2-23,6,3,2,3,2,1,92,78,64,992,991,990,31,22,3,45,24,,4.06,,Rain,-1
2015-2-24,9,6,3,5,2,-1,93,72,43,1014,1006,992,31,23,6,40,27,,0.25,,Rain,-1
2015-2-25,13,9,5,9,7,6,98,88,64,1017,1015,1012,31,17,2,24,18,,0.00,,Rain,-1
2015-2-26,11,7,2,10,5,-3,97,75,34,1017,1013,1009,31,16,2,35,23,,5.08,,Rain,-1
2015-2-27,8,4,1,2,1,-1,82,64,43,1022,1020,1016,31,26,23,27,14,,0.00,,,-1
2015-2-28,11,8,5,10,7,3,93,82,64,1015,1006,997,31,21,8,39,23,,0.25,,Rain,-1
2015-3-1,10,7,3,7,3,1,91,70,49,1003,1000,998,31,20,10,42,32,,3.05,,Rain,-1
2015-3-2,8,4,2,2,1,-2,92,69,38,1015,1009,1002,31,28,23,40,24,,2.03,,Rain,-1
2015-3-3,7,4,2,3,1,-1,96,74,50,1022,1016,1012,31,20,5,37,19,,2.03,,Rain,-1
2015-3-4,10,6,2,2,-1,-2,81,56,34,1040,1031,1023,31,28,23,21,16,,0.00,,,-1
2015-3-5,11,6,0,4,2,-1,95,71,49,1041,1039,1037,31,24,16,34,11,,0.00,,,-1
2015-3-6,12,9,6,5,3,2,76,62,45,1037,1033,1028,31,25,18,26,18,,0.00,,,-1
2015-3-7,15,11,7,8,6,3,88,68,51,1027,1024,1022,31,21,11,24,19,,0.00,,,-1
2015-3-8,11,8,2,9,6,0,92,79,57,1028,1023,1021,31,21,8,26,14,,0.25,,Rain,-1
2015-3-9,11,6,0,9,5,0,92,87,78,1028,1024,1020,31,14,6,27,13,,0.51,,Rain,-1
2015-3-10,11,7,2,5,2,-2,97,65,29,1032,1030,1025,31,19,6,11,8,,0.00,,,-1
2015-3-11,11,7,3,9,5,-1,89,75,60,1030,1027,1025,29,13,3,21,11,,0.00,,Rain,-1
2015-3-12,14,11,8,8,5,1,90,64,37,1027,1023,1020,19,9,3,26,13,,0.00,,Rain,-1
2015-3-13,6,4,3,7,4,3,95,88,70,1029,1024,1020,23,9,3,24,13,,4.06,,Rain,-1
2015-3-14,8,5,2,3,0,-3,82,63,47,1032,1032,1030,31,16,5,26,19,,0.00,,,-1
2015-3-15,8,6,3,3,2,-1,88,73,52,1032,1029,1026,27,16,8,24,18,,0.00,,Rain,-1
2015-3-16,7,6,4,4,3,2,90,81,70,1026,1023,1022,14,9,6,16,11,,0.51,,Rain,-1
2015-3-17,11,7,3,4,3,2,96,77,44,1029,1025,1023,10,5,2,14,6,,0.00,,Rain,-1
2015-3-18,10,6,1,3,2,1,96,76,51,1035,1032,1030,6,4,2,21,10,,0.00,,,-1
2015-3-19,9,6,2,3,2,1,88,76,56,1035,1034,1032,6,4,3,23,13,,0.00,,,-1
2015-3-20,13,8,3,5,3,2,92,71,39,1032,1028,1024,31,7,2,14,8,,0.00,,,-1
2015-3-21,11,8,4,4,2,0,83,60,38,1030,1027,1024,31,20,11,26,13,,0.00,,,-1
2015-3-22,10,7,3,1,1,0,79,59,41,1030,1026,1021,31,22,11,19,11,,0.00,,,-1
2015-3-23,9,5,1,7,3,-1,94,81,64,1021,1016,1013,31,18,3,23,13,,0.25,,Rain,-1
2015-3-24,9,6,3,5,2,0,91,73,48,1013,1011,1010,31,27,14,14,8,,1.02,,Rain,-1
2015-3-25,9,6,1,2,1,-3,93,68,30,1014,1012,1008,31,29,24,14,6,,0.00,,Rain,-1
2015-3-26,12,8,3,8,3,-1,92,62,33,1016,1006,1000,31,20,10,34,21,,0.00,,Rain,-1
2015-3-27,12,7,2,7,3,0,92,66,41,1021,1020,1017,31,25,16,23,11,,0.00,,,-1
2015-3-28,13,10,8,11,9,7,98,89,72,1018,1011,1007,31,14,2,47,24,,2.03,,Rain,-1
2015-3-29,12,10,8,9,7,4,97,81,66,1006,1001,996,24,13,5,63,43,,2.03,,Rain,-1
2015-3-30,11,8,6,9,4,1,96,66,44,1013,1008,1002,31,20,3,52,23,,0.25,,Rain,-1
2015-3-31,12,9,7,9,3,-1,94,55,29,1021,1010,999,31,23,6,55,39,,0.00,,Rain,-1
2015-4-1,9,7,4,8,3,-1,94,65,48,1027,1024,1019,31,21,5,39,24,,0.25,,Rain,-1
2015-4-2,10,8,6,8,7,4,97,86,67,1023,1021,1017,31,12,3,37,23,,1.02,,Rain,-1
2015-4-3,12,10,8,11,8,5,97,87,73,1021,1016,1014,31,18,3,21,13,,2.03,,Rain,-1
2015-4-4,12,10,7,6,4,3,82,65,46,1026,1023,1020,31,25,18,24,14,,0.00,,,-1
2015-4-5,14,11,7,8,6,4,80,66,51,1030,1027,1026,26,17,10,16,6,,0.00,,,-1
2015-4-6,18,11,3,9,6,3,98,67,29,1035,1032,1030,31,10,2,21,5,,0.00,,Fog,-1
2015-4-7,17,11,4,9,7,4,99,74,35,1038,1036,1035,23,10,0,8,5,,0.00,,Fog,-1
2015-4-8,17,12,6,8,6,3,91,62,34,1035,1032,1030,18,12,6,16,5,,0.00,,,-1
2015-4-9,18,11,4,7,5,4,86,58,34,1030,1026,1023,11,9,6,10,5,,0.00,,,-1
2015-4-10,19,12,5,9,6,4,84,62,33,1023,1017,1013,31,11,3,27,10,,0.00,,Rain,-1
2015-4-11,11,9,6,8,3,-1,85,58,32,1026,1019,1011,31,19,11,35,21,,0.51,,Rain,-1
2015-4-12,16,10,4,9,4,1,82,64,40,1028,1025,1024,31,25,14,45,21,,0.00,,,-1
2015-4-13,17,12,7,10,7,6,84,69,45,1032,1030,1028,31,27,18,23,10,,0.00,,,-1
2015-4-14,18,12,6,11,8,4,91,75,52,1029,1026,1022,31,18,10,24,13,,0.00,,,-1
2015-4-15,19,11,4,11,8,6,99,78,46,1022,1018,1015,19,9,0,24,8,,0.00,,Fog,-1
2015-4-16,18,12,7,9,7,4,79,63,47,1017,1015,1013,31,20,11,19,16,,0.00,,Rain,-1
2015-4-17,16,12,8,6,3,1,62,45,29,1025,1019,1015,,,,24,16,,0.00,,Rain,-1
2015-4-18,16,10,4,4,3,1,76,52,30,1028,1027,1026,31,28,23,32,23,,0.00,,,-1
2015-4-19,11,7,3,3,2,0,84,60,40,1028,1026,1023,31,26,19,23,16,,0.00,,,-1
2015-4-20,17,10,3,5,4,2,87,57,30,1032,1029,1026,26,19,11,19,10,,0.00,,,-1
2015-4-21,18,12,6,6,4,3,81,51,25,1035,1034,1032,31,17,0,23,13,,0.00,,Fog,-1
2015-4-22,18,11,5,7,4,2,69,49,31,1034,1030,1026,31,29,26,29,18,,0.00,,,-1
2015-4-23,17,11,4,7,5,4,88,60,32,1025,1020,1016,29,19,6,19,10,,0.00,,,-1
2015-4-24,16,11,6,10,8,4,89,75,51,1015,1011,1008,31,14,6,23,8,,0.25,,Rain,-1
2015-4-25,16,13,8,10,9,6,93,77,46,1007,1005,1005,31,17,6,27,14,,0.76,,Rain,-1
2015-4-26,13,9,5,6,2,-4,91,59,24,1011,1009,1007,31,22,10,23,16,,0.00,,Rain,-1
2015-4-27,12,7,1,3,-1,-4,89,53,27,1013,1012,1012,31,28,26,34,10,,0.25,,Rain,-1
2015-4-28,12,8,3,3,1,-2,85,52,30,1019,1017,1014,31,28,24,37,18,,0.00,,,-1
2015-4-29,12,9,6,6,3,1,90,61,38,1016,1013,1011,31,24,3,35,23,,5.08,,Rain,-1
2015-4-30,13,9,6,4,3,2,85,59,38,1013,1011,1011,31,30,29,27,19,,0.00,,Rain,-1
2015-5-1,12,8,5,3,2,1,75,53,34,1012,1010,1009,31,29,24,27,16,,0.00,,Rain,-1
2015-5-2,13,9,6,8,5,2,77,65,57,1012,1008,1001,31,22,6,24,16,,0.00,,Rain,-1
2015-5-3,16,13,10,13,11,8,97,87,70,1001,996,993,31,16,5,32,21,,4.06,,Rain,-1
2015-5-4,16,12,9,11,8,4,95,71,43,1005,1001,992,31,24,5,35,21,,11.94,,Rain,-1
2015-5-5,14,12,9,12,9,5,96,77,51,1000,992,985,31,18,2,52,26,,0.76,,Rain,-1
2015-5-6,13,10,7,8,7,6,92,75,57,1011,1003,999,31,23,5,63,29,,2.03,,Rain,-1
2015-5-7,14,12,9,9,6,3,92,65,38,1017,1015,1012,31,21,14,27,18,,0.00,,Rain,-1
2015-5-8,14,11,7,11,7,2,85,69,49,1016,1012,1008,31,26,11,26,10,,0.25,,Rain,-1
2015-5-9,15,12,9,10,7,5,91,69,47,1022,1015,1009,31,26,11,42,31,,2.03,,Rain,-1
2015-5-10,16,12,7,11,9,6,94,74,62,1023,1022,1019,31,25,14,32,13,,0.00,,,-1
2015-5-11,17,14,11,12,9,6,89,66,34,1019,1017,1016,31,26,13,27,16,,0.25,,Rain,-1
2015-5-12,15,11,8,9,7,4,80,63,42,1023,1020,1016,31,25,11,42,24,,0.25,,Rain,-1
2015-5-13,18,11,4,8,4,1,93,57,22,1023,1019,1015,31,21,14,14,6,,0.00,,,-1
2015-5-14,10,9,8,8,7,5,92,79,59,1016,1011,1008,31,19,5,26,16,,9.91,,Rain,-1
2015-5-15,15,11,7,9,6,4,87,67,46,1024,1021,1016,31,27,19,26,13,,0.00,,Rain,-1
2015-5-16,16,13,10,11,7,3,95,62,33,1029,1025,1021,31,23,5,35,21,,0.00,,,-1
2015-5-17,14,10,6,7,5,3,94,64,37,1029,1025,1019,31,21,11,27,14,,0.00,,,-1
2015-5-18,13,11,8,10,6,4,96,70,45,1018,1007,1002,31,20,2,47,23,,7.87,,Rain,-1
2015-5-19,13,10,7,6,4,2,76,59,42,1011,1006,1003,31,31,31,40,26,,1.02,,Rain,-1
2015-5-20,16,10,5,7,3,1,78,52,24,1024,1018,1012,31,31,31,19,13,,0.00,,,-1
2015-5-21,16,12,7,9,7,4,94,65,39,1028,1026,1025,31,23,8,32,14,,0.00,,,-1
2015-5-22,18,13,8,14,11,7,98,84,70,1028,1026,1024,27,16,3,23,14,,0.51,,Rain,-1
2015-5-23,20,16,12,12,10,7,90,65,34,1026,1025,1023,31,22,10,14,10,,0.00,,,-1
2015-5-24,18,13,9,13,11,7,95,80,53,1023,1020,1019,31,19,10,24,16,,0.00,,Rain,-1
2015-5-25,16,12,7,11,7,5,84,64,50,1022,1021,1020,31,29,23,21,11,,0.00,,Rain,-1
2015-5-26,19,14,9,9,8,7,83,61,37,1027,1024,1022,31,29,26,16,8,,0.00,,,-1
2015-5-27,18,13,7,9,7,4,80,59,37,1028,1024,1017,31,29,26,37,13,,0.00,,Rain,-1
2015-5-28,15,12,9,11,6,3,92,60,37,1016,1015,1014,31,24,6,35,26,,0.00,,Rain,-1
2015-5-29,14,11,9,9,6,2,90,64,31,1014,1009,1005,31,26,3,32,18,,4.06,,Rain,-1
2015-5-30,16,11,6,9,6,2,81,59,29,1015,1013,1011,31,28,26,26,13,,0.51,,,-1
2015-5-31,14,12,10,13,8,-1,92,70,27,1013,1007,1003,31,21,6,37,24,,0.51,,Rain,-1
2015-6-1,13,10,7,10,7,4,91,72,48,1014,1011,1001,31,17,5,42,26,,2.03,,Rain,-1
2015-6-2,16,13,10,13,11,7,95,79,50,1012,1004,999,29,13,2,53,34,,4.06,,Rain,-1
2015-6-3,17,13,10,8,7,3,76,55,29,1027,1021,1012,26,21,14,32,24,,0.00,,Rain,-1
2015-6-4,21,13,7,10,8,6,91,58,32,1027,1024,1018,31,29,24,21,8,,0.00,,,-1
2015-6-5,20,16,12,12,9,6,78,59,43,1020,1016,1013,31,27,16,42,16,,0.00,,,-1
2015-6-6,16,12,9,7,6,4,79,58,38,1029,1025,1021,31,30,29,39,24,,0.00,,Rain,-1
2015-6-7,18,12,7,8,6,2,93,53,24,1034,1032,1030,31,23,14,23,11,,0.00,,,-1
2015-6-8,18,12,7,6,4,2,70,46,24,1035,1034,1032,31,28,19,24,16,,0.00,,,-1
2015-6-9,16,11,7,6,4,2,83,50,31,1035,1034,1031,29,24,19,29,18,,0.00,,,-1
2015-6-10,17,11,6,7,4,3,77,55,37,1033,1029,1025,31,31,31,29,18,,0.00,,,-1
2015-6-11,24,16,8,12,9,6,80,52,29,1025,1018,1013,31,28,24,24,19,,0.00,,,-1
2015-6-12,20,16,12,16,12,8,94,68,46,1013,1010,1008,31,19,3,23,16,,7.87,,Rain,-1
